ship_date,Billets,MBQ,Rebar,SBQ
2017-12-01,8.634909,30.27861,41.1913375,3.8165675
2018-01-01,10.0549275,44.5006365,34.176743,3.0887325
2018-02-01,8.7118925,39.7955135,32.09565,2.8662625
2018-03-01,9.0109955,42.4075055,35.6497695,3.8835835
2018-04-01,7.7930855,44.7239365,40.688877,7.0461835
2018-05-01,10.1698675,47.2077305,34.4337515,4.5872675
2018-06-01,11.2647355,49.223482,27.9063035,3.333216
2018-07-01,10.351354,37.423746,33.9252545,4.1169795
2018-08-01,10.8432305,45.5581155,36.3471375,6.622724
2018-09-01,13.3181395,32.1903085,31.4061595,2.045691
2018-10-01,8.6534205,40.097829,32.468989,5.0380955
2018-11-01,11.700755,33.698297,28.655416,4.6837515
2018-12-01,11.340379,25.34458,24.634061,3.4735905
2019-01-01,14.250438,42.290188,29.877999,6.601487
2019-02-01,12.9999565,33.8689105,27.503434,7.3732355
2019-03-01,13.856726,37.3644895,29.4931355,7.839458
2019-04-01,14.310313,34.915783,25.559352,13.2892185
2019-05-01,13.434216000000001,33.45136865686899,23.101402999999998,11.7688097
2019-06-01,19.327234,44.601935499999996,34.06311955,11.4733817
2019-07-01,8.321602500000001,31.943244,27.411842,14.9718521
2019-08-01,12.253267,36.462538,33.518796,7.8374865
2019-09-01,20.969158500000002,44.293856500000004,39.2212645,9.2602555
2019-10-01,12.0463385,38.181721379023,31.7522065,5.0806877
2019-11-01,24.153596,40.0592685,25.216461,10.096839099999999
2019-12-01,15.716298,39.2726281,27.3100115,5.3574985999999996
